id_resto,amount_pictures,average_price,features,description
125,6,"$$ ($20 to $30), $$$ ($30 to $45)",,"Restaurant-bars specializing in cocktails and tartares in a chic industrial decor. The perfect place for business lunches, trendy dinners and nightlife.show more"
126,60,"$ (less than $20), $$ ($20 to $30)",,"Paradise Biryani Pointe is dedicated to providing an authentic and consistent taste experience to its customers, maintaining the rich heritage of Hyderabadi Biryani. The fact that we are gaining inspiration from our loyal customer base speaks volumes about our commitment to delivering an exceptional dining experience.
Expanding to new locations across Canada indicates a growing demand and appreciation for the flavors that Paradise Biryani Pointe has to offer. It's a great way to introduce more people to the rich culinary traditions of Hyderabadi cuisine.show more"
127,22,$ (less than $20),,"A chain in full swing , Established in 1995, L'Oeufrier began its adventure in a small neighborhood of Laval. The concept was to create a restaurant of breakfasts where all the delights of the lunches made with passion and refinement are harmonized.show more"
128,60,$ (less than $20),,"Mexican restaurant with the best margaritas in town, best signature cocktails, guacamole, ceviche, tacos, chicken garnachero and much more...show more"
129,25,"$$ ($20 to $30), $$$ ($30 to $45)",,"Diba Restaurant brings the rich flavors of Iranian and Persian cuisine to NDG, located on Somerland Avenue in Montreal. Enjoy a diverse menu featuring succulent kebabs, aromatic stews, and saffron-infused rice in a welcoming and cozy setting. Perfect for a unique culinary experience.show more"
130,47,"$$$ ($30 to $45), $$$$ (over $45)",,"Founded in 1889 by Joseph Bourdeau & Daniel Hatton, The Boating Club of Ste-Rose was the most renowned nautical club in the region. Located next to the Plessis-Bélair Bridge, near the Rivière-des-Mille-Îles, the club was mostly composed of English-speaking Montreal vacationers. The club organized regattas and social evenings as well as balls in the ""Club House"". 125 years later, with the initiative of a Bourdeau (as in 1889) and his group of friends, The Boating Club comes back to life! In this great project we find, among others, the group of co-owners of the Philemon Bar in Old Montreal. Zébulon Perron, the designer behind enormous success such as, Grinder, La Buvette à Simone, Furco. Francis Lorrain from Boucherie Lorrain in Rosemère and Gary Sousa our captain.show more"
131,33,"$$ ($20 to $30), $$$ ($30 to $45)",,"Peruvian and Brazilian gastronomy
We offer a variety of delicious and authentic specialties.show more"
132,33,$ (less than $20),,"Want a delicious fresh pizza to enjoy at home? Let yourself be tempted by the Jacques Cartier pizzeria, where sunny tomatoes from Italy meet the quality of ingredients from Quebec.show more"
133,32,"$$ ($20 to $30), $$$ ($30 to $45)",,"Experience flavors of Japan with fresh ocean sushi, sashimi, and a variety of Japanese Specialty’s. Some of our curated Plates include Fresh Tataki Salmon, Street Food specialties like Takoyaki & Karaage, and Noodle dishes like Shrimp Teriyaki with Udon.
Enjoy an assortment of Japanese Cocktails and imported Sakes and Liquor. Samon Sushi has the option for both All You Can Eat dine in or choose to eat at the comfort of your home with takeout.
Located in Boucherville, just outside of Montreal, Your evening with us at Samon Sushi will be a memorable one.show more"
134,14,"$ (less than $20), $$ ($20 to $30)",,"Upon entering Braseiro on the popular St-Lawrence Street one finds an ambiance of casual and traditional family dining where authentic Portuguese cuisine can be savored in a relaxed and comfortable atmosphere. At Braseiro the true feeling of Portugal's culture can be experienced as you savor delicious specialties right from the charcoal grill. Indulge in some Portuguese food, made from the freshest of ingredients and where everything is marinated. Renowned for superb grilled chicken, grilled sausage, grilled meats and grilled seafood and fish that will make you want to certainly go back for more. To all the meat lovers the grilled chicken and sausage is a must try! You can order a platter with different types of tasty grilled meats all mixed together! Reservations are highly recommended for this traditional delicious Portuguese restaurant and prices are very affordable. Reserve today to celebrate any occasion ! Their large, open kitchen, the texture and colors of their walls, and the art they display, gives their dining room a true Mediterranean decor and a very relaxing atmosphere. They offer catering to parties of all sizes and also take-out. For take-out try calling about 50 minutes ahead to avoid any delays, as they prepare your tantalizing meal for you. When dining at Braseiro, a delicious meal and a great time are guaranteed.show more"
135,22,"$ (less than $20), $$ ($20 to $30)",,"An all-you-can-eat Japanese restaurant, with a variety of food from 168 choices, all in the warmest decor and with a joyful and courteous staff.show more"
136,8,$ (less than $20),,Serving authentic Jamaican cuisineshow more
137,30,$ (less than $20),,We are on Le Plateau Mont-Royal and we guarantee that you will fall in love with our Indian-Pakistani food!show more
138,12,"$$ ($20 to $30), $$$ ($30 to $45)",,"Welcome to GURU Indian Bistro, the first purely Indian venture by the Sandhu family, an iconic presence in the dining scene of the Plateau since 1982.
As pioneers of gastronomy in this vibrant Montreal neighborhood, the Sandhu family has consistently shared their passion for authenticity and culinary excellence. GURU Indian Bistro represents the culmination of decades of experience and commitment to quality cuisine, offering an immersive and authentic Indian experience that celebrates the traditions and rich flavors of India.
Discover a menu that combines finesse and creativity, where each dish tells a story of culture and culinary craftsmanship. Be swept away by the enticing aromas of exotic spices and carefully selected ingredients, in a setting that evokes elegance and conviviality.
Join us at GURU Indian Bistro for a culinary exploration that will transport you directly to the heart of India, thanks to the vision and passion of the Sandhu family.show more"
139,18,$ (less than $20),,"A popular spot with delicious ""Smash Burgers"" and Shakes.
Eat in, order for takeout or have it delivered with your favourite app.show more"
140,24,"$$ ($20 to $30), $$$ ($30 to $45)",,"UMAMI RAMEN & IZAKAYA is the very first fully vegan ramen restaurant in Montreal. 
Thanks to the import of a Japanese machine for making noodles, the establishment makes its own homemade noodles from organic wheat, in addition to making its broths, Tsukemono, kombucha and sprouts!  The restaurant offers several varieties of ramen and small classics of Japanese Bistronomy in a vegan version.  Whether we think of okonomiyaki, gyozas, Agedashi tofu or even tempeh Tonkatsu, Cédric and his team are happy to present to you every day, from starter to dessert, these revisited Japanese classics... just a few exclusives straight out of our kitchens.   And who says Izayaka, of course, says refreshing beers, sumptuous wines, intoxicating cocktails, delicate sakes and other fine wine products.  At Umami Ramen, we experience cruelty-free gastronomy at its best!show more"
141,36,"$$ ($20 to $30), $$$ ($30 to $45)",,"In a warm & friendly atmosphere. Le Charleville offers Canadian-French cuisine, prepared with a majority of Québec products!
Le Charleville is proud to offer you a tasty culinary experience using a selection of  fresh products prepared on site every day.  We change our menu regularly, according to the Chef's inspirations!
We can also accommodate all your dietary needs.show more"
142,18,$$ ($20 to $30),,Essence offers a classical international cuisine with a modern twist. Our team of talented chefs is inspired by Quebec's finest seasonal produce to offer clients the best events possible; a business lunch or a corporate dinner. We have your setting for a night out on town with friends or a romantic evening for two. Our bar and lounge offer you the perfect surroundings to enjoy the good moments of life.show more
143,15,$ (less than $20),,"Enjoy a moment of relaxation in a warm and country atmosphere.Our passionate team will ensure your pleasure by preparing our original menu, made up of top quality, fresh and healthy foods.Your well-being is our priority, see you soon!show more"
145,23,"$ (less than $20), $$ ($20 to $30)",,"ZIBO! Restaurant-Bars offer a mouth-watering California cuisine featuring salads, pizza, pasta, grilled dishes, fish, succulent desserts as well as a generous wine list. Whether enjoying a drink at the bar, a meal in the dining room or in a private setting, a romantic lunch for two, an outing with friends and family, a business dinner or even a hopping happy hour, customers appreciate the warm and trendy atmosphere of ZIBO! Restaurant-Bars.show more"
146,36,"$$ ($20 to $30), $$$ ($30 to $45)",,Restaurant Pub Brewery with an American BBQ - Smoked meats menu and a host of other delicious options.show more
147,19,"$$ ($20 to $30), $$$ ($30 to $45)",,"Welcome to the world of Madame Bovary, a festive restaurant with a menu of contemporary small dishes, a signature cocktail card and a private import wine list. Inspired by the story of Madame Bovary, the cozy design space includes a 160-seat restaurant, two bar areas, semi-private lounges and a billiard room.
We are happy to welcome you in a unique place where we wish to marry the pleasures of the table, art and culture to offer you unforgettable moments. (18+)show more"
148,27,$ (less than $20),,"Discover authentic Korean cuisine that is full of flavour at La Belle Corée. Come have a unique experience while savoring one of our delicious soups and stews or amazing meat dishes, in a warm atmosphere like nowhere else! There will be lunch specials and a special self-grill Korean BBQ experience during the evening hours! Also, serving alcohol, beers, wine, cocktails and oriental liquor (Soju, Sake, Makgeolli, etc..)show more"
149,18,$$ ($20 to $30),,"Welcome to the restaurant Mignonette, a friendly and refined place where flavors are elevated to the rank of art. Our restaurant-wine bar is the essential address for lovers of fine wines and delicious tartars, a perfect combination of flavors and refinement.We are passionate about the art of tasting and the discovery of new flavors. Our carefully selected wine list is full of bottles from all over the world. Whether you are a curious neophyte or an informed connoisseur, our team will be happy to guide you and help you discover sublime food and wine pairings.But our pride lies above all in our exceptional tartares. Prepared with fresh, quality ingredients, our tartares offer an explosion of flavors that will delight your taste buds. From timeless classics to original creations, our talented chefs do their utmost to offer you a unique and memorable culinary experience.Whether you come with friends for a gourmet aperitif accompanied by a well-chosen glass of wine, or for a full meal to discover our delicious tartares, you will always be greeted with a smile by our dedicated and passionate team.Come and share moments of conviviality around tasty cuisine and exceptional wines.We look forward to welcoming you and providing you with a unique experience in our establishment. See you soon at the restaurant Mignonette!show more"
150,18,"$ (less than $20), $$ ($20 to $30)",,"Sésame offers a concept unique in its kind: an out of the ordinary variety of high quality Asian dishes to enjoy in a warm atmosphere.   From the Pad Thai to the General Tao poutine, or one of the various wok sautées, you can eat your meal on site or take it to go.  Additionally, Sésame offers a wide selection of loose teas, several privately imported wines, beers on tap, a wide selection of sake, but especially, a menu of exclusive Sésame cocktails.show more"
151,16,"$ (less than $20), $$ ($20 to $30)",,"Welcome to your new favorite watering hole.A dining experience where you'll discover a warm welcome, a refined yet accessible menu and an unpretentious selection of wines and cocktails.A Buvette to please all tastes, and make every evening memorable.show more"
152,18,$$ ($20 to $30),,"La Focaccia, gourmet destination par excellence, has carved out a special place in the hearts of Italian food lovers and of those who just want a friendly place to eat well.

During its 25 years of existence La Focaccia has maintained a family tradition set to remain in the heart of the culinary landscape of the beautiful Lower Laurentians region for a long time.

We love what we do and want to share it with you.show more"
153,9,"$$ ($20 to $30), $$$ ($30 to $45)",,"Steak Frites offers quality prepared dishes: distinctive cuts of meat that are tender and juicy, enhanced through our know-how to reveal all of their flavour.  In an unpretentious atmosphere, we provide a generous gourmet menu for you to enjoy alone, as a couple, or with family and friends.show more"
154,40,"$$$ ($30 to $45), $$$$ (over $45)",,"Chef Giovanni Maiolo and his staff offer you modern italian cuisine at GESO.
A stylish and warm atmosphere with lunch specials, weekly table d'hôte, cocktails, streetside terrace, and private chef's table. Available for private functions and caterings.show more"
155,8,"$ (less than $20), $$ ($20 to $30)",,"Usine Grecque serves Greek cuisine and dishes such as souvlakis, pitas, salads, and Greek poutines, and more.show more"
156,31,"$$ ($20 to $30), $$$ ($30 to $45)",,"La Bêtise is the result of four friends who were wondering how to enhance food and wine pleasures. The tapas lounge-bar formula was created to offer an extraordinary evening to enthusiasts of culinary experiences: explosive tapas for all pallets, inventive main dishes, elaborate and original wine and cocktail list. You can share and explore classics that are adapted to fine cuisine in a warm and relaxed atmosphere. La Bêtise is the ideal place for a good time.show more"
157,33,"$ (less than $20), $$ ($20 to $30)",,"Rockstar Poutinerie Burger Bar is a rustic industrial style restaurant/bar that serves gourmet burgers, amazing Quebec style poutines, and Mason jar cocktails.show more"
158,18,$$ ($20 to $30),,"Modern Peruvian cuisine, located in Montreal.show more"
159,6,"$$ ($20 to $30), $$$ ($30 to $45)",,"Restaurant-bars specializing in cocktails and tartares in a chic industrial decor. The perfect place for business lunches, trendy dinners and nightlife.show more"
160,14,"$ (less than $20), $$ ($20 to $30)",,"Allô mon Coco invites you to enjoy a sparkling brunch experience in a family-friendly and comforting atmosphere. Come share memorable moments with your loved ones over the best meal of the day: breakfast. Located in Old Montreal, near Square Victoria, Notre-Dame Basilica, and the Palais des Congrès, come try our morning specialties—our hearty sweet and savory brunch plates, delicious eggs Benedict, and decadent waffles and cocos, not to mention the famous Allô mon Coco potatoes! Also, discover our lunch offerings, perfect for a meal with colleagues. Pair it all with a refreshing mimosa, smoothie, or milkshake!show more"
161,10,"$$ ($20 to $30), $$$ ($30 to $45)",,"Friendly and always busy, this neighborhood gem has two addresses with a tasty and comforting menu, cooked with care by its owners Francine Brûlé and Serge Bruneau who receive each customers like at home. In a setting where nostalgia and innovation are intertwined with finesse, we invariably find a warm atmosphere, vibrant and unpretentious.show more"
162,7,"$$ ($20 to $30), $$$ ($30 to $45)",,"Savor fine exquisite Mediterranean cuisine, featuring a daily table d'hôte and a ""Healthy Choice."" Our executive chef will be pleased to offer you his best and finest foods. Our legendary personalized service will impress even the most demanding tastes. We are open for breakfast, lunch and dinner. Buon Appetito!show more"
163,15,$ (less than $20),,"Piri Piri Restaurant presents a new concept in Portuguese cuisine. Located in le Plateau, this rotisserie will seduce you with its delicious aroma of grilled meats cooked on charcoal.   You will be delighted by their delectable chicken and generous portions while enjoy a friendly and warm atmosphere. Benefit from affordable prices and their take-out services.  Hurry and visit Piri Piri! You won't regret it!show more"
164,12,$$$$ (over $45),,"At the legendary 1234 de la Montagne location resides one of Canada’s largest dining and supper club experience. As a fully immersive fantasy setting, Yoko Luna balances the epitome of fine dining with an otherworldly experience. The cuisine is Nikkei, a tantalizing blend of Japanese delicacies and Peruvian delights, housed within a series of dream-like environments. Each of the eight rooms within our establishment was built with the utmost care for design and detail, with the goal of invoking passionate reactions from our patrons. Entertainment and mystical arts in the form of “immersive entertainment” floats round the venue in symphony with over-the-top bottle service, including some of Montreal’s most exclusive champagnes and spiritsshow more"
165,28,$ (less than $20),,"The QG project is summed up in one sentence: Create a place where one can find one's self, and others.  Get together with family, sip an old-fashioned hot chocolate and take advantage of the available board games... Find yourself, take the time to read a good book, have a coffee or an original tea ... Get together with colleagues for a gourmet lunch made with local artisanal products at reasonable prices ... As a couple, to chat and discover the latest homemade pastries ... Get together with friends for a hockey evening with beer & charcuterie pairing ... A suitable and comfortable place for everyone, family, friends or business associates…  To create and develop all these slices of life, the QG is driven by one belief: the quality of our crafts. Being a meeting place is first to use and value the things you love in your immediate environment. That is why, the products come from local or proximity craftsmen the services offered are set up with the companies of La Prairie and promotional activities within the Vieux La Prairie are strongly relayed and communicated.  The door is wide open ... so let's get together soon!show more"
166,12,"$ (less than $20), $$ ($20 to $30)",,Our bar and lounge offer you the perfect surroundings to enjoy the good moments of life.show more
167,21,"$ (less than $20), $$ ($20 to $30)",,"The 4 Origins Brewing Company's mission is to commemorate Montreal's brewing heritage as this great city continues to thrive. Our brewery was founded to pay tribute to the local community, to innovate and collaborate with other local businesses, to help educate patrons on the brewing process, and above all else, to brew quality, independent beer that Montrealers can be proud of!show more"
168,10,"$ (less than $20), $$ ($20 to $30)",,"At Mezcaleros, we bring the vibrant flavors of Mexico to your table with a unique twist. Our menu features a delicious array of tapas, perfect for sharing, and a carefully curated selection of cocktails, with a special focus on mezcal. Whether you’re here for a casual evening or a special celebration, our warm, inviting atmosphere is the perfect backdrop for great food, drinks, and unforgettable moments. Join us and experience the heart of Mexico in every bite and sip.show more"
169,27,"$ (less than $20), $$ ($20 to $30)",,"Opened in September 2023, the Toujours Mikes in Saint-Sauveur is in the heart of the city, in the Tanger Factories of Mont Saint-Sauveur. We are waiting for you for lunch and dinner after a day outdoors or simply for comforting dishes that will make you feel at home!
Let yourself be tempted by one of our succulent subs from our original recipe, pizzas made with fresh dough, prepared every day in the restaurant in addition to our delicious pastas and our gourmet poutines. Pair two of your favorite dishes by opting for our famous Duettos.
In the dining room, for takeout or for delivery, we have what you need to please your taste buds.
Always good. Always together. Always Mikes.show more"
170,17,$$ ($20 to $30),,"Le Nil Bleu on St-Denis Street in Le Plateau is a rare Ethiopian restaurant to offer flavourful, yet exotic meals that patrons keep going back for. The cuisine at Le Nil Bleu is composed of lamb, chicken, beef, seafood and vegetarian dishes. Le Nil bleu also offers combo plates which allow diners to sample several offerings. The exotic decor features art, musical instruments and print fabrics. The environment is intimate and relaxing. We now offer delivery!show more"
171,9,"$ (less than $20), $$ ($20 to $30)",,"Located in a century old home in the heart of Old Boucherville, Saint-Laurent Café-Bistro offers delicious food prepared with regional ingredients.show more"
172,6,$$$$ (over $45),,"Nestled in the heart of Montreal, Muzique stands as an icon of nightlife excellence. With its pulsating beats and electric ambiance, Muzique is the unrivaled destination for those seeking an unforgettable experience in the city. Boasting a fusion of cutting-edge music and opulent design, this legendary nightclub has redefined the art of entertainmentshow more"
173,16,"$$ ($20 to $30), $$$ ($30 to $45)",,"Welcome to Manga Bistro, the ultimate destination for anime fans and sushi lovers!
Our anime-themed all-you-can-eat sushi restaurant offers a unique dining experience that transports you to the vibrant world of manga and anime.
Dive into the Manga Bistro menu, a true treasure trove of sushi delights! Our specialty, Sushi flambé, brings perfectly captured flavors to your plate that are sure to whet your appetite.show more"
174,45,"$$ ($20 to $30), $$$ ($30 to $45)",,"The chef lets you discover her gastronomic skills with the right cuisine accompanied with textures chosen carefully with the seasonal products.  A place where you can have a sumptuous meal in a sieved lighting. We do our best in giving you an unforgettable culinary experience.  Whether it is for a meal with friends or for a group, contact us to make a reservation at Chez Fabien restaurant in the Vieux-Terrebonne.show more"
175,11,"$ (less than $20), $$ ($20 to $30)",,"Jukebox burgers et Bar laitier is located in Dollard-des-Ormeaux. It is a great place to bring your family and friends. Dip into something different! Try out their amazing delicious food and huge and juicy burgers in a fun ambiance. Jukebox burgers et Bar laitier always provides fun and lasting memories with your friends or families. Jukebox burgers are made of fresh ground, triple AAA meat with delicious, original toppings. End your meal with their amazingly delicious desserts. Go through their menu and try the make your own options at their Ice cream bar. Go ahead and treat yourself! You will want to come back, let your friends try it, bring them along ! Bringing back memories and creating new ones, their jukeboxes are filled with classic 50's music that adds to the retro feel. Jukebox burgers and Bar laitier is available for your catering needs and parties. Just to mention that this restaurant hosts Charity events throughout the year. Eating at Jukebox burgers et Bar laitier is a worthwhile trip in itself!show more"
176,6,$ (less than $20),,"Fine Japanese cuisine…

The sushi at Sushi Sama are all prepared with diligence and finesse.  Each roll has unique ingredients coming together in harmony. The original names reflect each item's contents, and they are carefully prepared by the experienced chefs at Sushi Sama. Whether it is for healthy eating or for a special event, your experience will be satisfying.show more"
177,12,$ (less than $20),,"PoutineVille is the result of an idea that had simmered for a decade in the heads of three longtime friends. It is the union between the expertise of an experienced chef, Tony Rea and imagination of Kosta Kariotakis, Camillo Fresco and you!  Make your own poutine by choosing the ingredients you want. Add extra vegetables, choose different meats and you can even choose what kind of patato you want. Not feeling creative? Let them serve you one of their pre-made amazing poutines, you won't be disappointed.show more"
178,17,"$ (less than $20), $$ ($20 to $30)",,"100% Plant-Based Vegan Greek, American and Canadian inspired Classic Comfort Food like you've never seen or had before.
All the guilty pleasures and flavors, without the guilt!
Enjoy!show more"
179,16,"$$ ($20 to $30), $$$ ($30 to $45)",,"It's all about 3 nice guys, a modern decor, relaxing atmosphere and an outstanding cuisine!show more"
180,8,"$$ ($20 to $30), $$$ ($30 to $45)",,"Nourri au Beurre opens its doors in Boucherville in autumn 2017. With its ""late-night"" concept, you can enjoy a delicious meal even after your late outings. A cozy and intimate atmosphere where none other than the owner, David Godin-Pelletier, will offer you authentic, tasty cuisine.show more"
181,22,"$$ ($20 to $30), $$$ ($30 to $45)",,"Le Kube offers an international, yet distinctively Montreal-inspired, cuisine prepared with fresh ingredients carefully selected to complement each dish. Riccardo Agostino and his team apply their knowledge and techniques every day to offer a unique culinary experience.
Defy the ordinary and choose a restaurant where modern design meets tradition.show more"
182,48,$ (less than $20),,"A cuisine that is simple and fast, made with wholesome, fresh ingredients, to the rhythm of flavors from around the world.  It is a small, unpretentious neighborhood restaurant, where we serve homemade comfort food, made with love.  Patate & Persil is a ""work in progress"" which evolves with you...  The chef owner Eric Blais offers a ""revamped fast-food "" that will please everyone from vegetarian to traditional... and even your wallet !show more"
184,11,"$$ ($20 to $30), $$$ ($30 to $45)",,"Since its opening in the heart of old Ste-Rose, Trattoria Casa Rinacchio is distinguished by its simplicity, warmth and exceptional flavors that will give all your senses an extraordinary experience.  So at the table!show more"
185,24,$$ ($20 to $30),,"THE NEO BUTCHER OF THE LAURENTIANS
Our mission is to elevate butchery to the rank of gastronomy by having an ethical and creative approach.  Exceptional, high-quality meats are processed with care and passion.  For the master butcher Philippe, his job does not simply consist of boning and cutting, for him being a butcher has maintained a link with each of his customers to understand their expectations and advise them by passing on his know-how.show more"
186,9,"$ (less than $20), $$ ($20 to $30)",,"You will be delighted with Itamea Sushi. The menu offers quality meals that are flavorful and attractive. The sushi, soups and salads as well as the combos are all made daily using fresh ingredients. Enjoy your meal!show more"
187,35,"$ (less than $20), $$ ($20 to $30)",,"At La Piazzetta, we want to offer our customers different great value products and services in order to make them live out of common experiences and gain their respect and loyalty. For this purpose, we do our very best to put forward a delicious first quality original food and beverage offer, meaning we thrive to innovate constantly.  We create stimulating areas where it is pleasant to be, for our customers, which are considered as guests and also our staff, for their well-being. We look forward to offer our clientèle an almost full range of complementary products.   We consider catering as a great and noble trade and we work with competent and passionate people. We constantly invest in our staff well-being and compentency so they can relate it to our clientèle by offering them a caring and professional service that sets apart from competition.show more"
188,31,$$ ($20 to $30),,"Kokoro Sushi in Montreal is focused on fast service and takeout orders offering a higher quality of sushi in a friendly atmosphere.  At Kokoro Sushi, we strive to offer you an impeccable quality of product, originality in the creation of new weekly recipes and a warm and friendly atmosphere.show more"
189,14,"$ (less than $20), $$ ($20 to $30)",,"Typical Colombian specialties, prepared with passion making TOSTADITO the best place in Montreal to enjoy the tastiest Colombian dishes.show more"
190,14,$$ ($20 to $30),,"Located on the 8th floor of the William Gray Hotel, Terrasse William Gray is the place to be to soak up the summer season. With a breathtaking view of Place Jacques-Cartier, the St. Lawrence River and Montreal’s Ferris wheel, our terrace offers refreshing summer wines, cocktails, beers and delicious sharing platters. The terrace is heated and equipped with retractable awnings to ensure our guest's comfort during cooler days.show more"
191,38,$$ ($20 to $30),,"For private parties, either business or pleasure. Tandoori Palace can accommodate 80 or so in comfort and elegance. Special menus can be designed to ensure that you and your guest will feel that they really have enjoyed the true taste of India. Or let us bring Tandoori Palace fine cuisine to your own premises. We offer free delivery! Whatever the occasion from an office party to a product launch, or even a directors meeting over lunch. We can prepare the ideal meal for the occasion. A culinary adventure awaits you at Tandoori Palace!show more"
192,16,"$$ ($20 to $30), $$$ ($30 to $45)",,"CARIBOU GOURMAND? EVERYTHING STARTS WITH A NICKNAMEIn addition to being the emblematic animal of Quebec, we were so called ""the Caribou"" during our visits to France, that it was obvious to borrow the name from this large deer.French expatriates for several years and very attached to our gourmet roots, it is in Quebec that we decided to drop our bags, and it is a pleasure for us to share with you our love of cooking by combining gourmet seasonal ingredients, our French roots and Quebec influences, in an atmosphere that invites relaxation and conviviality ...show more"
193,23,"$ (less than $20), $$ ($20 to $30)",,"Cosy bistro serving burgers, grills & cocktails in a setting with exposed-brick walls & dark wood.show more"
194,8,$ (less than $20),,"The h3 Lounge is located, like the h3 Restaurant, on the 2nd floor of the Humaniti complex in the heart of downtown Montreal.
This exceptional place has a cellar that promotes accessibility: Quebec wines, great Bordeaux wines, through rare bottles unearthed by the best sommeliers in town.  The wine experience offered by the h3 Lounge appeals to connoisseurs and enthusiasts alike!  Add to that a balance between classic cocktails and seasonal creations, a ""finger food"" type food menu, the place is ideal for 5 to 7 with friends or colleagues, and to relax after a good day's work.
Open every evening from 4pm to 11pm, a cozy and relaxed atmosphere with jazz notes awaits you.  Note that once a month, an artist from the city is invited during h3ART events (which we discovered on the h3 Terrace) to perform live, in this magnificent setting which offers both privacy and a spectacular view thanks to its huge bay windows.show more"
195,24,$ (less than $20),,"We are in the fall of 2019.  While most ducks have taken flight to escape the Quebec winter, some more daring ones have decided to stay and take flight in a different way.  Why not start a café?  It's inspiring, comforting, warm and (definitely) ambitious!  Well, that's what Pierre and Amélie decided to do after several years of working alone, each on their own, because two is always better (especially when you decide to open a café)!show more"
196,16,$ (less than $20),,"Welcome to the Sana restaurant, we offer you the most delicious dishes prepared with fresh and healthy ingredients. We invite you to enjoy a special moment with family and friends.We hope you enjoy your visit. Enjoy!show more"
197,13,"$ (less than $20), $$ ($20 to $30)",,"Allô mon Coco invites you to enjoy a sparkling culinary experience in a family-friendly and comforting atmosphere, just steps from the Montreal Botanical Garden, the Biodome and the Olympic Stadium. Come share memorable moments with your loved ones around the best meal of the day: brunch. Located at the intersection of Pie-IX Boulevard and Jean-Talon E Boulevard in Villeray–Saint-Michel–Parc-Extension, come try our breakfast specialties; our hearty sweet and savory brunch plates, our tasty eggs Benedict and the decadent waffles and cocos, not to mention the famous Allô mon Coco potatoes! Also discover our lunchtime offer, perfect for a team dinner with colleagues.show more"
198,37,"$$ ($20 to $30), $$$ ($30 to $45)",,"Jack Saloon is located on Crescent street in Downtown Montreal. This is a lively restaurant and bar where you will find a warm and inviting atmosphere. The breathtaking decor will make you feel like you were part of a western film. The menu is composed of dishes that will challenge any connoisseur and gourmet’s palate! We offer a festive food prepared and cooked on the burning grill. Burgers and grilled meats, as well as smoked meats are a true delight! It presents various types of live bands and DJ nights. Come and meet the team who will be happy to meet your expectations! A visit to Jack Saloon is a unique experience, an unusual adventure, an unforgettable evening!show more"
199,35,"$ (less than $20), $$ ($20 to $30)",,"At La Piazzetta, we want to offer our customers different great value products and services in order to make them live out of common experiences and gain their respect and loyalty. For this purpose, we do our very best to put forward a delicious first quality original food and beverage offer, meaning we thrive to innovate constantly.  We create stimulating areas where it is pleasant to be, for our customers, which are considered as guests and also our staff, for their well-being. We look forward to offer our clientèle an almost full range of complementary products.   We consider catering as a great and noble trade and we work with competent and passionate people. We constantly invest in our staff well-being and compentency so they can relate it to our clientèle by offering them a caring and professional service that sets apart from competition.show more"
200,18,"$$ ($20 to $30), $$$ ($30 to $45)",,"We Know What Delicious Food Should Be  With Outstanding Modern And Classic Italian Dishes, We Offer Something For Everyone. Our Ingredients Are Sourced From The Finest Italian Growers. Our Chefs Prepare Each Dish Using Only Authentic Recipes And Skills, Fresh For You Each Day.  You’re Not Simply Tasting Our Own Brand Of Fine Olive Oil, Drizzled Over The Perfect Pizza Crust Or Cured Meats And Hams. You’re Enjoying The Culture Of Real Italian Cooking.  Wedding receptions  We offer ourselves as a blank canvas so you can let your imagination run wild keeping things as simple or elaborate as you wish.  Corporate events  Flawless service and award winning cuisine; can make an occasion unforgettable. Innovative, yet traditional dishes created for your event.  Christmas Parties  A favorite place for executive groups looking for a luxurious Christmas dinner.show more"
201,23,$ (less than $20),,"Welcome to the The most famous Mexican restaurant in Montreal! Excellent food and exotic drinks are served in an atmosphere of fiesta. Ideal for your birthday, have fun and do not miss our special offers. We serve the best Margaritas in Montreal!show more"
202,35,"$ (less than $20), $$ ($20 to $30)",,"At La Piazzetta, we want to offer our customers different great value products and services in order to make them live out of common experiences and gain their respect and loyalty. For this purpose, we do our very best to put forward a delicious first quality original food and beverage offer, meaning we thrive to innovate constantly.  We create stimulating areas where it is pleasant to be, for our customers, which are considered as guests and also our staff, for their well-being. We look forward to offer our clientèle an almost full range of complementary products.   We consider catering as a great and noble trade and we work with competent and passionate people. We constantly invest in our staff well-being and compentency so they can relate it to our clientèle by offering them a caring and professional service that sets apart from competition.show more"
203,26,"$ (less than $20), $$ ($20 to $30)",,"ZIBO! Restaurant-Bars offer a mouth-watering California cuisine featuring salads, pizza, pasta, grilled dishes, fish, succulent desserts as well as a generous wine list. Whether enjoying a drink at the bar or a meal in the dining room, a romantic lunch for two, an outing with friends and family, a business dinner or even a hopping happy hour, customers appreciate the warm and trendy atmosphere of ZIBO! Restaurant-Barsshow more"
205,26,"$$ ($20 to $30), $$$ ($30 to $45)",,"Jack Saloon Restaurant, a reinvented western resto-bar, has opened its doors in Vaudreuil-Dorion. Unique and recognized for its Tex-Mex food with international influences and its country/rock atmosphere, Jack Saloon offers a novel concept of culinary and musical experiences.show more"
